NUM_ZONA,COD_MUNICIPIO,MUNICIPIO,COD_LOCAL,NOM_LOCAL,DES_ENDERECO,NOM_BAIRRO,NUM_CEP,NUM_SECAO,QTD_APTOS,situacao do local de votação
26,13013,ABAIARA,1023,ESCOLA BELARMINO LINS DE MEDEIROS,RUA EXPEDITO OLIVEIRA DAS NEVES 182,CENTRO,63240000,1,348,Ativo
26,13013,ABAIARA,1023,ESCOLA BELARMINO LINS DE MEDEIROS,RUA EXPEDITO OLIVEIRA DAS NEVES 182,CENTRO,63240000,2,349,Ativo
26,13013,ABAIARA,1023,ESCOLA BELARMINO LINS DE MEDEIROS,RUA EXPEDITO OLIVEIRA DAS NEVES 182,CENTRO,63240000,3,347,Ativo
26,13013,ABAIARA,1023,ESCOLA BELARMINO LINS DE MEDEIROS,RUA EXPEDITO OLIVEIRA DAS NEVES 182,CENTRO,63240000,4,347,Ativo
26,13013,ABAIARA,1104,ESCOLA ROSA TAVARES LEITE,RUA MISAEL ALVES DE MEDEIROS 295,CENTRO,63240000,5,293,Ativo
26,13013,ABAIARA,1104,ESCOLA ROSA TAVARES LEITE,RUA MISAEL ALVES DE MEDEIROS 295,CENTRO,63240000,6,291,Ativo
26,13013,ABAIARA,1058,ESCOLA CORONEL HUMBERTO BEZERRA,AV JULIO SAMPAIO S/N,DISTRITO SÃO JOSÉ,63240000,7,258,Ativo
26,13013,ABAIARA,1058,ESCOLA CORONEL HUMBERTO BEZERRA,AV JULIO SAMPAIO S/N,DISTRITO SÃO JOSÉ,63240000,8,255,Ativo
26,13013,ABAIARA,1058,ESCOLA CORONEL HUMBERTO BEZERRA,AV JULIO SAMPAIO S/N,DISTRITO SÃO JOSÉ,63240000,9,256,Ativo
26,13013,ABAIARA,1066,ESCOLA FRANCISCO ALVES VIANA,SITIO LIVRAMENTO,SÍTIO LIVRAMENTO,63240000,10,213,Ativo
26,13013,ABAIARA,1074,ESCOLA MARIA OLIVEIRA SANTOS,SITIO CAMARA,SÍTIO CAMARÁ,63240000,11,270,Ativo
26,13013,ABAIARA,1074,ESCOLA MARIA OLIVEIRA SANTOS,SITIO CAMARA,SÍTIO CAMARÁ,63240000,12,268,Ativo
26,13013,ABAIARA,1082,ESCOLA FRANCISCO BENEDITO DE SOUZA,SITIO OLHO DAGUA COMPRIDO,SÍTIO OLHO DAGUA COMPRIDO,63240000,13,176,Ativo
26,13013,ABAIARA,1090,ESCOLA PRESIDENTE CASTELO BRANCO,SITIO OLHO DAGUA DA PEDRA,SÍTIO OLHO DAGUA DE PEDRA,63240000,14,349,Ativo
26,13013,ABAIARA,1090,ESCOLA PRESIDENTE CASTELO BRANCO,SITIO OLHO DAGUA DA PEDRA,SÍTIO OLHO DAGUA DE PEDRA,63240000,15,346,Ativo
26,13013,ABAIARA,1201,UNIDADE BÁSICA DE SAÚDE DR SEBASTIÃO CAVALCANTI,"RUA PADRE JOSÉ LEITE SAMPAIO, 140",CENTRO,63240000,70,300,Ativo
26,13013,ABAIARA,1104,ESCOLA ROSA TAVARES LEITE,RUA MISAEL ALVES DE MEDEIROS 295,CENTRO,63240000,71,292,Ativo
26,13013,ABAIARA,1104,ESCOLA ROSA TAVARES LEITE,RUA MISAEL ALVES DE MEDEIROS 295,CENTRO,63240000,72,294,Ativo
26,13013,ABAIARA,1201,UNIDADE BÁSICA DE SAÚDE DR SEBASTIÃO CAVALCANTI,"RUA PADRE JOSÉ LEITE SAMPAIO, 140",CENTRO,63240000,74,208,Ativo
26,13013,ABAIARA,1104,ESCOLA ROSA TAVARES LEITE,RUA MISAEL ALVES DE MEDEIROS 295,CENTRO,63240000,75,292,Ativo
26,13013,ABAIARA,1104,ESCOLA ROSA TAVARES LEITE,RUA MISAEL ALVES DE MEDEIROS 295,CENTRO,63240000,79,0,Ativo
26,13013,ABAIARA,1104,ESCOLA ROSA TAVARES LEITE,RUA MISAEL ALVES DE MEDEIROS 295,CENTRO,63240000,87,0,Ativo
26,13013,ABAIARA,1104,ESCOLA ROSA TAVARES LEITE,RUA MISAEL ALVES DE MEDEIROS 295,CENTRO,63240000,91,0,Ativo
26,13013,ABAIARA,1147,ESCOLA MANOEL ANSELMO DA SILVA,SITIO POCINHOS,SÍTIO POCINHOS,63240000,107,242,Ativo
26,13013,ABAIARA,1155,ESCOLA PADRE JOSE LEITE SAMPAIO,SITIO LOGRADOURO,SÍTIO LOGRADOURO,63240000,108,131,Ativo
